Vertex1,Vertex2,Color1,Color2
2HDJA,1B3X5,green,red
FFML4,TRRK5,red,blue
4VKA8,14BWK,blue,blue
AL938,HHDG5,green,blue
D5LWY,MWWIZ,red,blue
BIV6N,X43SQ,red,green
EI54H,GV8U2,red,red
MC8Y5,2N10E,green,red
1TPG3,ICEVN,red,green
U2UMM,G89V5,blue,red
F7FTL,0JK41,blue,green
1KW1S,LQXMH,blue,red
ZHKVE,GDH3B,blue,blue
CIQ3Z,RNA90,blue,green
B3SXM,GWYS3,green,blue
Y6W0H,O7E9H,blue,red
4PXGE,6BEXO,green,blue
P5YE1,2ZIYM,blue,blue
JZF3M,G2VZ2,red,blue
Y5NSE,63TIL,blue,blue
6SACK,I3UOU,green,green
5F4TY,E2NP9,red,blue
60LS1,YN466,blue,red
J2LJA,IGQLA,green,blue
261PO,TJ1F8,red,red
7386C,U8MTM,red,red
885V2,RZCIK,red,blue
O4RP1,B45P3,blue,green
HML9W,3H5IP,red,green
B45P3,UVFL8,red,red
0OW1H,UTTFN,blue,green
63TIL,4P4M4,red,green
5Q3W0,WH0HQ,green,red
V9KW7,KYYP4,blue,green
F834S,FJK8C,green,green
HK99G,T0TS3,green,green
4RS41,MT2P6,blue,red
KRICQ,XEE6Y,blue,green
8IC4M,DNQZA,red,blue
QUVEF,PZ2PW,green,red
B4IF8,NJD6X,red,blue
8312J,D6NP6,red,blue
6JX21,N7XBN,blue,blue
2GND7,K4WSY,blue,green
2PH58,DOE2U,red,blue
AON59,C0A83,blue,red
PA5OG,USPVZ,red,green
ICEVN,DO6YF,red,red
0JK41,65H0H,red,red
URWZ0,GSOWC,blue,red
668M7,1X23I,blue,red
D928C,9UYBE,green,blue
B6HM5,BNTMC,green,green
W4ATV,37PGM,red,blue
EH20F,TUB95,blue,blue
T9YXS,UUQ5V,green,green
UQ9FE,JZ8U0,green,green
U8DQB,J7FBX,green,green
OXEV0,NM9F5,green,red
HQ764,U26CB,red,red
SWPCP,BHABZ,green,green
J044L,2GND7,red,red
5R9W8,RERMN,blue,red
IA9NO,9GX2B,red,green
X82DQ,3YGHQ,red,green
QL9EH,VSLS8,red,red
SAZIF,ZXZK2,red,red
7L4N7,B6HM5,green,blue
VGCBK,UK2C1,red,blue
D4VGA,BZT0S,green,green
KMTBL,4UQ24,red,green
6ALQ8,XWPUP,red,green
68KDQ,RERMN,green,red
IGQLA,GV8U2,red,red
QMKRO,L0OVN,blue,green
QHDLK,KVKJG,red,red
KPSJG,58MXZ,red,red
497HN,F5AJO,red,red
JLLBD,IRTGL,red,blue
IRTGL,BY9PM,green,green
47328,DBJAC,green,green
IG1YA,XW119,green,blue
YH8DB,HCS0S,blue,red
HQ764,U3VP9,blue,blue
F5AJO,GL1FX,red,red
G7SJA,CHFTC,red,red
T35D2,P5YE1,red,blue
IZWDJ,7YGZC,green,blue
19IZN,4PXGE,green,green
1KVGA,EZP7K,red,blue
SHRY2,QULXT,blue,blue
51FCS,6O3BA,green,red
SJU70,G2VZ2,blue,red
9UYBE,8ALZW,green,green
GJP2Z,LHLWN,green,blue
SJ4F5,CYOSC,red,blue
I3UOU,M8F0T,green,blue
F0CQJ,UJEXE,green,blue
7G8B6,XP6I4,red,green
U2P5F,YJNQ7,red,blue
ZG1MT,0KNP9,green,green
Z5ONJ,KTYE7,red,green
GYJWK,TK9MZ,red,green
B2N0W,WGRB5,red,blue
SOYLH,B38DB,red,green
GDH3B,UD93F,red,red
RILWN,U5IQK,blue,green
CVZHS,YRLLE,blue,blue
QMZ0E,ZFF48,blue,green
PZYX9,I6V0A,red,green
OWGFI,OYJ9Q,blue,green
8VD6X,AQTI1,green,blue
RVF8H,X6MNV,blue,blue
4VKA8,869QV,blue,blue
REH01,1U9HK,blue,blue
YJNQ7,BNTMC,red,red
BD5AS,KQA4E,red,blue
356NS,NYM29,red,blue
HCITG,J1DJT,green,red
3H5PG,J26IB,red,red
OWIL3,Y95IF,red,blue
CM9IK,CO1DP,blue,red
REY4S,IPLBI,green,green
7XHXX,95TRY,green,red
2VHC2,8AUBU,red,blue
VWO99,F46WG,blue,blue
LQU1E,SPKFS,green,blue
OXEV0,HIXT3,blue,green
XW119,2L970,green,red
6VBCA,B6T28,green,blue
R5OSH,YN466,blue,green
B6T28,BDE5C,red,blue
3YGHQ,KVKJP,blue,green
T7TKS,HLS1N,green,red
CABJT,UVKYN,red,green
0L5SC,CIAV6,red,green
T0JC3,KVKJP,blue,red
ENOMT,PQUYZ,red,red
6DPQU,HYJP3,red,green
7KMQ7,3H5IP,blue,green
65DNU,PPQU2,red,blue
REH01,8DEPA,green,blue
JQ31B,8SO5Z,green,blue
0NNHS,V3WWX,blue,red
T0TS3,7EESK,red,green
OU3EL,SPKFS,red,blue
JGR33,GC5Y2,blue,blue
NTPZC,9RYVL,blue,red
Q55UQ,T5YAR,red,blue
P6UWK,D928C,red,red
T9ALU,MWWIZ,red,red
1TPG3,1BG8G,blue,red
X6MNV,3H4QS,red,blue
CRV51,U2O9D,green,red
BZT0S,B66MU,green,blue
19IZN,TUB95,green,blue
V05JZ,EBE8N,blue,red
Z4WZE,8312J,red,blue
3RJ6U,M4PY7,green,green
RK67T,7G8B6,red,green
TKJUR,UBGGP,green,red
IA6NS,U8DQB,green,green
TF7B3,8ALZW,red,green
1XVCU,YCLMK,green,red
1LZXI,UEQIR,blue,green
T0BO1,L0GUU,green,blue
T0JC3,2WTFL,green,green
8SO5Z,MNBK5,blue,green
GXBYM,WJ6CR,red,red
A9D59,X7ISR,green,green
CZBX1,JWEJC,blue,green
4QZJB,UB6SB,green,red
K9FQP,J044L,red,red
RRIZU,MDEBL,blue,red
NL4QH,MC8Y5,green,green
NLUIU,29T7Z,blue,green
FYWQX,I9LIN,green,blue
AEJPJ,37PGM,green,green
KRICQ,QUVEF,blue,blue
YKSKE,8ALZW,green,blue
DUBO2,RZCIK,red,green
51FCS,NJD6X,blue,red
JXWV6,UI5AL,red,blue
8ALZW,CZBX1,green,blue
8AUBU,A09IX,green,blue
APVFH,WH0HQ,blue,red
59R0M,R7310,blue,red
S30AR,37PGM,blue,red
B3SXM,DQF3Y,green,red
B2WDK,YTUWC,red,blue
G0X6P,VOSVE,green,red
21L0W,XIZ3Z,red,green
LX8YS,K9FQP,green,blue
A09IX,307TC,blue,red
OY1UK,8T9DT,blue,blue
Y45K6,F5AJO,blue,green
IWP8R,ZXZK2,green,red
3RJ6U,JVMPP,blue,blue
7KMQ7,QKAYH,blue,green
0JK41,TNWAH,green,green
YNALB,U5IQK,green,red
7386C,ZK44L,blue,green
2PH58,JER6M,red,red
TVCVK,O2TIT,red,red
ZK44L,OZUXL,blue,red
GUFW9,0KNP9,red,blue
OEXHO,I2K5M,blue,red
EM6X2,MRQ26,blue,green
8R4HC,XEE6Y,green,green
6X0IF,IIPOU,green,green
6BEXO,MZ6V5,green,red
DNOE1,22W7D,blue,green
V0VS2,1YS29,red,red
YKLD6,UVFL8,blue,blue
YWQBI,TNNNC,blue,blue
HML9W,SRQ66,red,red
270ZF,G0X6P,green,green
VOSVE,70S7I,blue,red
BJ9CO,3YGHQ,green,green
885V2,V7ZQT,green,green
QBZ6M,NYN5I,green,blue
GF6KO,GWYS3,green,blue
A09IX,4F8J5,red,green
DOVTG,YMHCY,blue,blue
B38DB,5KRDT,red,blue
2VHC2,SWPCP,red,blue
U5IQK,6JX21,blue,red
F83IQ,B38DB,blue,green
08Y3M,J8K06,blue,red
FJFGJ,SRP3U,green,red
8ALZW,ROGON,green,blue
04Z09,0MUJX,green,green
0E346,EBE8N,red,blue
QMZ0E,I7JS7,blue,blue
D5LWY,UCV8I,blue,green
VCLW9,REY4S,green,blue
G0X6P,DOVTG,red,green
JOBTU,D6NP6,red,red
JXWV6,6JX21,red,green
IA6NS,QRVCZ,red,blue
2VHC2,0ZU6L,red,green
HN3EH,VJOMK,blue,green
TSWLN,DDX2W,green,blue
OXEV0,I6V0A,green,red
08Y3M,UCV8I,red,green
0L5SC,8BPSN,green,red
E6RRQ,W5Z7J,green,red
50IBQ,OXEV0,blue,red
I2K5M,2PH58,red,blue
ILLL9,0NGPG,red,green
21L0W,7KPBM,green,green
6L9KH,70S7I,red,green
T35D2,GUFW9,blue,blue
5AP0L,UG4R0,red,green
TJ1F8,FMJIU,green,green
2PH58,DW5MJ,red,green
GDH3B,EKI8S,blue,blue
9Z1RL,NYN5I,red,green
7KPBM,0J8TC,green,green
SO28D,SYCL1,red,red
D5LWY,KXQGY,green,green
U2UMM,1NOUK,green,green
DR6PG,I7JCV,blue,red
1NN46,U81KC,red,green
UQ9FE,1XDT0,green,green
K4WSY,PCDJ2,red,green
7BMH8,GL1XX,green,green
8312J,EMQYG,green,blue
TNNNC,1U9HK,red,blue
5BG87,J95J5,green,red
PTBST,0RD2P,blue,blue
240D9,8TQ7L,green,green
2VHC2,7LFRV,red,green
5VBDJ,PTBST,red,green
O7EYM,BDDE6,red,red
DBJAC,487C7,blue,red
UI19F,GL1FX,blue,red
5E9F4,MZ6V5,blue,blue
79KC4,SHRY2,green,blue
HAXAZ,UK2C1,blue,green
ZG1MT,ICEVN,green,green
QXFUA,UCFUW,blue,blue
B2N0W,UUQ5V,red,red
0ETWX,ZRLP7,blue,green
B1Q6K,PA5OG,red,blue
HZ9MN,6RC7E,green,blue
7386C,AON59,blue,green
AYH5F,FGQ8J,green,red
KUVKE,FYWQX,green,red
487C7,24WWE,red,green
I3UOU,S30AR,green,blue
9Q3VQ,1XDT0,green,red
6F92J,EBJPP,blue,red
R1JH5,GC5Y2,blue,red
E7DB8,O4RP1,red,green
ENOMT,AK6M7,blue,green
Y7PN9,URWZ0,blue,red
IPVRT,CI7JY,red,red
77EKN,X4PN1,green,red
68IVQ,ZUH32,red,red
CI7JY,EI54H,red,red
QJ3J3,GBBE4,red,blue
F46WG,IP13G,green,red
IPLBI,RIC0E,red,green
9GG22,O90GF,blue,blue
5Y3JS,USKRX,green,blue
HOYWL,UD93F,blue,blue
1JXO7,QMKRO,green,green
JWEJC,WJ6CR,red,blue
435S1,PYI28,blue,red
E3VR0,FYWQX,blue,green
1J5IR,B5S64,red,green
URHVH,J9RMG,green,blue
U4U00,MBTVY,green,red
12KJ3,G0X6P,blue,green
240D9,0MUJX,green,red
UK769,MA86Q,green,blue
SJ4F5,AK6M7,blue,red
0E346,IA9NO,blue,blue
21L0W,OF1N6,green,green
GD0PN,J9RMG,green,blue
OUB2L,MNBK5,blue,green
KVKJG,U2UMM,green,red
WUGEM,24WWE,blue,green
MKTV8,GV8U2,green,blue
L0OVN,WNE53,blue,red
FLE9Q,7G8B6,green,green
3IG71,KRICQ,green,blue
WJ6CR,H35NM,red,blue
UG4R0,JLLBD,red,green
MPIQJ,LOMFP,green,green
F7FTL,T9RTB,blue,blue
HK99G,VOSVE,green,green
TU2AE,6O3BA,green,blue
3EJX4,ZQ4G5,green,red
U2P5F,A09IX,blue,blue
0H2EG,FLE9Q,green,red
UK2C1,Y4ARZ,red,blue
47328,MDEBL,green,blue
GK2R7,UO2GJ,green,green
Q50LR,VO2EW,red,blue
9I7R1,QRT9A,red,green
1XVCU,4SO3V,red,red
6ALQ8,JQ31B,blue,green
5B9WH,PRNM9,blue,blue
6F92J,VQQJZ,blue,red
3KJV3,EK1O1,blue,red
012KO,JXWV6,blue,green
6HNIK,HIXT3,red,red
0NNHS,J2OYQ,green,green
CDOS5,J1DJT,red,green
4BHC6,PQUYZ,red,green
3H5IP,ZLDES,green,green
WL8G1,0JK41,red,green
1ZK9D,A09IX,green,blue
W4ATV,1BG8G,red,red
SWPCP,QL9EH,red,green
6DPQU,2PH58,blue,blue
G0X6P,G3BPC,blue,green
MPJC9,Y7PN9,green,green
RERMN,R5OSH,blue,blue
3H5PG,GTEKY,blue,green
XHQ7J,1ZK9D,blue,red
TJ1F8,LY9E1,green,blue
FFRQC,IG1YA,red,blue
6JX21,6XE5S,blue,green
U9MYY,ZEOKC,green,blue
5R9W8,N6OSY,blue,blue
B38DB,V3WWX,green,blue
2ZIYM,A3MKK,blue,red
3YGHQ,SJ4F5,blue,red
XJ8GV,A713J,blue,blue
P99SW,6L9KH,red,green
GXBGA,AK6M7,green,green
A3MKK,129H8,red,red
DW5MJ,2ZIYM,green,red
8B09U,PQUYZ,red,blue
2L970,0L5SC,green,green
OEXHO,SRP3U,blue,blue
M4PY7,24WWE,blue,blue
7FY0V,OUB2L,blue,green
SC1RQ,04Z09,green,green
CXGE8,MQAVN,blue,blue
TZ4GS,ADLTN,blue,blue
TVP5I,ZOR7F,green,green
DNOE1,XHQ7J,blue,blue
AK6M7,7KMQ7,blue,blue
ACD94,58LAT,green,red
QJ3J3,ZTPEJ,blue,green
4RITS,EZP7K,green,blue
SJSTG,801KY,red,blue
UEQIR,1B3X5,red,green
TK9MZ,356NS,green,blue
0NGPG,CLK79,red,green
5MMY6,14BWK,red,green
31ETL,RZCIK,blue,blue
21L0W,JBLZD,green,green
E6RRQ,B45P3,red,green
WGRB5,1E8CL,green,blue
U26CB,MRQ26,blue,red
PZ2PW,FF32X,red,blue
19IZN,LRYSC,blue,green
UD42W,LDU7F,blue,blue
7LFRV,S99XZ,red,blue
UD93F,VWO99,blue,blue
HHDG5,AEJPJ,red,green
Y4ARZ,MHUJK,green,blue
TZ4GS,G1BAN,blue,red
Z9VY0,024RU,red,blue
1ZK9D,FA765,green,green
5SH3V,JER6M,red,blue
J2LJA,14BWK,green,blue
1TZFX,TRRK5,blue,green
1YS29,TSWLN,blue,blue
U8OEF,4P4M4,red,blue
8AUBU,435S1,blue,red
IZWDJ,1J9YF,green,blue
VXSGC,8DEPA,blue,blue
DO6YF,XHQ7J,green,green
801KY,B4IF8,blue,red
6L9KH,7KMQ7,green,green
6PQRL,Y7WP0,green,green
HOYWL,QIOXN,blue,blue
60LS1,SWPCP,green,green
024RU,AVYMA,red,blue
2N10E,4RS41,blue,red
VIMY8,PRVWI,blue,blue
TNB22,4RITS,red,green
CXGE8,C8Z0Z,green,blue
IGQLA,YWQBI,green,red
4D319,BX7HE,red,green
JVMPP,U2O9D,blue,blue
435S1,12KJ3,red,red
7WJYZ,04Z09,green,blue
08NKJ,5E9F4,green,blue
F83IQ,T9ALU,blue,green
0ETWX,N22QM,red,blue
I0822,A8ZK0,red,blue
Y7PN9,7FY0V,blue,blue
RERMN,0BE3Q,red,red
GUFW9,89PG4,red,green
TJVG2,PW7P4,green,red
IOSYM,SPKFS,blue,blue
KVKJG,29BMZ,blue,green
5F4TY,O2TIT,blue,blue
WM6RC,GJP2Z,red,blue
Y6XM9,NLUIU,green,red
6L9KH,LY9E1,green,blue
OWIL3,9WBUE,blue,green
012KO,YN466,red,blue
U26CB,356NS,green,red
YG72D,8NQAS,green,red
QTKFO,Q6YHQ,green,red
D81WE,SHRY2,red,red
5VBDJ,59R0M,blue,red
D928C,JXWV6,green,blue
4UQ24,O7E9H,green,green
ZLXNY,9D9SF,red,blue
382I1,IRTGL,red,blue
HCITG,50IBQ,green,green
XGDU6,6WC6X,red,blue
F46WG,GIJFB,blue,red
GPNCP,7386C,blue,blue
E3JEO,U2P5F,red,green
PG32T,YJNQ7,green,green
3H5IP,4BPDC,blue,red
78GXV,RTLTL,green,blue
RZGG2,XP6I4,red,blue
JUQPG,HCITG,green,blue
8XKBN,MT2P6,blue,green
9Q3VQ,IA6NS,red,green
EKI8S,CS5BZ,red,blue
3FABK,KMTBL,red,blue
J044L,5E9F4,green,green
885V2,DB1CK,red,blue
497HN,7BMH8,red,blue
4RITS,HSOOO,red,red
A8ZK0,HYJP3,green,blue
ICEVN,PYI28,green,red
AON59,FYWQX,blue,green
MH9A6,7LFRV,red,green
JSCUG,47PML,green,green
HK99G,6XE5S,red,blue
70S7I,47PML,blue,blue
QYHQE,WB3SK,blue,blue
6L9KH,HCITG,red,green
H3IOL,95TRY,red,blue
S30AR,NY1XK,blue,green
R0YP2,X4VHI,red,blue
T9YXS,A713J,blue,green
NLE82,P6UWK,blue,blue
F834S,12KJ3,red,green
Y4ARZ,B2WDK,blue,blue
ECZFS,69023,blue,green
STC9O,QPOVG,blue,green
6F92J,SBLF3,blue,green
NLE82,DR6PG,red,green
QULXT,04Z09,blue,blue
CHFTC,V7ZQT,blue,green
NBRBM,V9KW7,blue,green
B3SXM,WB3SK,green,green
4N8QS,M8AMZ,blue,red
885V2,R6F6H,green,blue
RTH2Y,P8UZ2,green,green
UCV8I,ULYCS,green,green
GO0S0,7Y6QP,blue,blue
YKLD6,USPVZ,blue,red
5D0BD,6X0IF,red,red
WMQ5G,V0VS2,red,red
P8UZ2,IL210,green,green
TRYNL,GXBYM,green,green
Q3RP0,EBJPP,blue,blue
13KHW,CLE4I,green,blue
H2BUK,UO2GJ,green,blue
CI7JY,QXFUA,red,red
4F8J5,GUHKN,green,blue
1U9HK,3AUHG,green,green
WJ6CR,12KJ3,blue,blue
2CL3G,RZZF2,green,green
C8Z0Z,13KHW,green,green
2PH58,NBRBM,blue,green
DANSD,WXU50,red,green
1CZ0U,A9D59,blue,green
7R1BZ,JZF3M,green,red
7WJYZ,2WIVF,red,green
261PO,K7XEQ,blue,red
51FCS,GDH3B,red,red
012KO,RERMN,red,green
STC9O,BNTMC,red,red
ZEOKC,K7XEQ,red,blue
DJLXF,LX8YS,green,blue
MA86Q,NW37L,red,red
ACEBZ,U8OEF,red,blue
7LFRV,Z9VY0,green,blue
IWUTO,YRLLE,blue,blue
RZ81Y,DDX2W,red,blue
PYI28,9UYBE,red,blue
2WTFL,8B09U,blue,blue
RILWN,CM9IK,blue,blue
NYM29,PQUYZ,green,red
BD5AS,B2WDK,blue,blue
ZJB2A,X4LY7,blue,blue
HTPRR,58LAT,green,blue
5Q3W0,RZZF2,red,green
EM6X2,9GX2B,blue,blue
IA6NS,8S0Y5,green,green
VZS3Q,G44JF,red,blue
R6F6H,B3SXM,blue,green
HYJP3,VZ9K4,red,red
801KY,65DNU,red,red
QIG7I,21L0W,blue,red
Z4WZE,G1BAN,red,red
D81WE,PCDJ2,blue,green
6X0IF,YNALB,blue,green
6WC6X,K9FQP,red,blue
04Z09,TVQOC,green,green
MQAVN,21L0W,red,red
9GX2B,UD93F,blue,red
DBJAC,59R0M,green,red
458OM,MRQ26,blue,green
1ZK9D,EFL8F,green,blue
XG8JK,MH9A6,blue,blue
8BPSN,MDEBL,red,red
1J9YF,8TQ7L,green,blue
PG32T,T0JC3,blue,blue
7I6QF,8O3WN,blue,blue
BJ9CO,CBQ0W,red,blue
U81KC,17GPA,blue,blue
POZSM,LDU7F,blue,green
NCPB6,UK2C1,red,blue
Z5ONJ,Q46S2,red,green
2WIVF,5MMY6,green,red
EX6D7,DW5MJ,green,blue
7FA80,EI54H,blue,green
L9KTE,5KRDT,green,blue
A9D59,591SU,red,green
6F92J,G44JF,green,red
USKRX,YKLD6,green,blue
LRYSC,1KW1S,blue,red
5F4TY,X25PS,red,blue
O4RP1,497HN,blue,blue
N22A0,QB3US,blue,blue
NY1XK,UPDB4,green,red
SYCL1,NYN5I,blue,green
CLE4I,7HQPC,green,red
WM6RC,4J799,green,red
E0I9F,AL938,blue,red
0ZU6L,HSOOO,blue,green
TVP5I,LCPB3,red,blue
NYN5I,EQH49,blue,green
DJLXF,9I7R1,green,red
LOGFW,8RLVC,red,red
KUVKE,RTH2Y,green,blue
UI19F,IA6NS,red,blue
DOVTG,9Q8T3,red,green
9RC2Y,ICEVN,green,red
FJFGJ,2CL3G,red,green
Q6YHQ,4P4M4,blue,blue
8ALZW,XAOUW,blue,green
GJP2Z,1JFAT,blue,green
V0VS2,JSCUG,blue,blue
D5LWY,ULYCS,red,green
40LDN,YKLD6,green,red
8SO5Z,D4VGA,red,red
NM9F5,Q6YHQ,red,blue
CRV51,3XK89,green,blue
WJ6CR,I6V0A,green,blue
KTYE7,Z4WZE,blue,green
MF23U,ZHKVE,green,green
U5IQK,4QZJB,green,red
869QV,LYPHQ,blue,blue
9UYBE,GWYS3,red,red
LDU7F,DB1CK,red,red
FMJIU,JVMPP,green,blue
3YGHQ,UTTFN,red,green
B2N0W,0PQ1V,red,green
0L5SC,GDH3B,red,red
SBAA4,UO2GJ,green,blue
MBTVY,O4RP1,red,red
BK99V,ENOMT,green,green
OV6Q4,IWP8R,green,green
QKAYH,T9ALU,blue,green
GDH3B,1J5IR,blue,blue
H2BUK,DQF3Y,blue,green
QQB30,93OKD,blue,blue
DK7CC,5SH3V,blue,red
DNQZA,XP6I4,red,green
DDX2W,NLE82,blue,green
8DU5O,4P4M4,green,blue
DQF3Y,P8UZ2,blue,red
B6T28,Y6W0H,green,red
8B09U,RERMN,blue,green
XS4CF,VSLS8,blue,blue
B5S64,2OKRA,blue,blue
GF6KO,WS2R3,blue,red
TZXWR,RZUKL,blue,blue
45020,6F92J,blue,blue
DNQZA,NYN5I,blue,green
08NKJ,K64N9,red,blue
IL210,Q6YHQ,red,blue
HR6IT,D50SO,red,green
MZ6V5,LW3QV,blue,blue
DR6PG,1KW1S,blue,blue
5C1R9,1JXO7,red,blue
PG32T,RTH2Y,blue,green
1B3X5,5Q3W0,blue,green
3EJX4,LSYOZ,blue,green
YQRQN,Y7WP0,red,green
J9RMG,497HN,green,blue
A713J,ZZQOZ,red,red
PPQU2,JR9PX,red,green
L8OMN,6XE5S,blue,red
7Y6QP,V0VS2,green,blue
94CZM,SGORL,red,blue
GUFW9,R5OSH,red,green
Z9ATV,GPNCP,red,red
IG1YA,9GG22,red,green
BMSRG,H3IOL,red,green
EM1SW,HCS0S,blue,blue
OEXHO,6JZAR,green,green
I2K5M,CVZHS,red,green
BIV6N,W5Z7J,green,green
D50SO,2CZZ6,red,green
G2VZ2,H7INM,green,green
9Z1RL,D50EY,green,blue
S7U4A,REH01,green,green
SOYLH,FJIZE,green,green
ENOMT,BY9PM,green,blue
7BMH8,IL210,green,green
8XKBN,5OFQ8,green,blue
0B8RB,MQAVN,blue,red
9VW4W,GV8U2,red,green
HCITG,WD7E6,blue,green
KDLRJ,CUBF4,blue,green
E1B4Z,CLK79,blue,red
1D0DP,AL938,green,green
I9LIN,1B3X5,blue,blue
VOSVE,ZR6FE,red,red
OV6Q4,MT023,red,blue
DZ1NO,JR37R,blue,red
SBLF3,08Y3M,blue,green
JGR33,I7JCV,blue,blue
L8OMN,SDUCZ,blue,green
TJVG2,4RITS,blue,green
GSOWC,SXGHY,green,green
6X6QR,L8OMN,green,green
XEE6Y,UCV8I,green,green
SHRY2,1CZ0U,red,blue
MT023,ZJB2A,red,red
UI5AL,PPQU2,blue,green
T5YAR,29T7Z,blue,red
LW3QV,BY9PM,green,green
G0X6P,7KPBM,red,blue
Y45K6,81Y5B,green,green
7R1BZ,LHLWN,green,blue
1CZ0U,BX7HE,blue,green
IA6NS,FFRQC,green,blue
JCOFD,7GMMP,red,green
D50SO,E1B4Z,blue,green
B2WDK,NYM29,blue,blue
J26IB,R7M6P,green,green
N7XBN,2U0U8,green,red
IG1YA,7XHXX,blue,red
AON59,XW119,blue,green
ACEBZ,TRYNL,red,green
MWWIZ,SPKFS,red,blue
0YBC7,1I6FP,red,red
6VBCA,AK6M7,red,green
QB3US,6JX21,blue,green
GZ7L5,O7EYM,blue,blue
HUYSR,4FRD4,green,green
VFLPK,UVFL8,green,blue
6X6QR,CRV51,red,green
STC9O,NLUIU,blue,green
CHFTC,SXGHY,blue,green
BDE5C,78GXV,red,red
7KPBM,LOGFW,red,blue
9JODI,REH01,green,red
EH20F,XJ8GV,blue,blue
YN466,B2N0W,red,blue
VFN8X,ZXZK2,red,blue
YNALB,DJ47M,blue,blue
1DGE4,U9MYY,green,red
8NJCH,5MWPM,green,green
RZCIK,NX6IS,blue,blue
4Q9LK,ZZQOZ,blue,red
TE4W8,B6T28,green,blue
3H5IP,U8MTM,blue,blue
1U9HK,2PH58,red,blue
GD0PN,IG1YA,blue,blue
VCLW9,7XHXX,blue,green
8TQ7L,OXZY3,blue,green
UPSI5,F0CQJ,red,red
3FABK,5AP0L,blue,blue
0N84X,FJFGJ,green,red
K64N9,YK10O,blue,blue
8VD6X,HZ9MN,red,red
95DY7,7FY0V,green,green
UB6SB,M5D88,green,green
ACEBZ,SAZIF,blue,green
NYM29,IRTGL,red,blue
CZOL9,270ZF,blue,red
ZTSQY,9GX2B,red,red
J044L,U2P5F,blue,red
0OW1H,9DY3I,green,blue
LX8YS,CHFTC,green,blue
MSR3J,KDLRJ,green,red
RZ81Y,2L970,red,red
5E9F4,IWP8R,red,red
9WBUE,MH9A6,green,green
OZUXL,AL938,green,red
7KMQ7,BD5AS,green,blue
8DEPA,FFML4,blue,green
QL3BO,PW7P4,red,green
UK769,KPSJG,blue,green
7FA80,8IC4M,green,green
6RC7E,17GPA,blue,green
ZTSQY,RZGG2,red,green
59R0M,XG8JK,green,green
MC8Y5,J2LJA,blue,blue
SR4CW,P8UZ2,red,red
WLWN0,FXF1Z,red,green
G3BPC,LARYM,red,blue
CZBX1,G2VZ2,green,blue
IA9NO,59T6W,red,red
JR37R,JCOFD,blue,blue
6X3TF,3H5IP,red,blue
Q46S2,NL4QH,blue,red
IHLE7,1E8CL,red,green
WGRB5,XWPUP,red,red
3AUHG,O2SV0,blue,blue
V05JZ,6PQRL,green,red
Y6W0H,A3MKK,red,blue
J044L,EX4N8,red,blue
PRNM9,RUPOG,green,green
B6HM5,HYJP3,blue,red
3BKOB,A3MKK,green,green
FOVLW,AU606,red,red
OV6Q4,6JZAR,green,red
SJ4F5,CRV51,green,blue
08Y3M,D50EY,red,blue
VFLPK,ACD94,red,red
YN466,CYOSC,red,blue
AYH5F,0NNHS,blue,red
CIQ3Z,NL4QH,blue,blue
A09IX,NBRBM,red,blue
EBJPP,1ZK9D,green,green
MH391,OY1UK,red,green
XEE6Y,OWIL3,blue,red
356NS,AYH5F,blue,blue
WXU50,URWZ0,green,blue
H6XY1,4N8QS,green,red
B38DB,2VHC2,blue,green
SBLF3,O7E9H,green,blue
U2O9D,SPKFS,red,red
9D9SF,UB6SB,green,green
YRLLE,591SU,green,red
XX0BU,X6MNV,green,red
WGRB5,WXU50,red,blue
Y95IF,8EYU2,green,blue
BNT5L,0PQCE,red,green
T9YXS,TVP5I,green,green
E7DB8,JR37R,red,blue
Q50LR,4UQ24,green,red
47PML,HHDG5,red,red
NW37L,LBVHO,red,green
5316T,LOGFW,blue,green
12KJ3,OXEV0,green,blue
XX1OL,3KJV3,green,green
JR37R,YH8DB,blue,green
6HNIK,6XE5S,red,green
CLK79,R7SYL,blue,red
497HN,65H0H,blue,red
UB6SB,EZP7K,red,red
DANSD,95DY7,red,blue
O2SV0,YQRQN,blue,blue
ZFF48,X7ISR,blue,blue
XVE9I,NX9EW,green,blue
EBSW0,IPLBI,green,red
6SACK,7L4N7,blue,green
B3CQ5,OF1N6,red,green
JZF3M,WFRM0,blue,green
IYJRB,EM6X2,blue,blue
IWP8R,1CZ0U,green,red
C8Z0Z,CUBF4,green,red
NYM29,29T7Z,blue,blue
V0VS2,OWGFI,green,red
FZPMI,VGCBK,green,red
0H2EG,LDU7F,green,blue
LOMFP,WJ6CR,green,red
LQXMH,NM9F5,red,red
GYJWK,IGQLA,blue,red
487C7,WJSFU,green,red
IPLBI,A3MKK,red,blue
D6NP6,IA9NO,blue,red
XHIY2,IZWDJ,green,green
N7XBN,NY1XK,green,green
GXBYM,57OW5,blue,green
USKRX,7KPBM,green,blue
ADLTN,Y6XM9,blue,green
J2LJA,OV6Q4,green,red
JXWV6,9RC2Y,red,blue
LCPB3,GK2R7,blue,green
25I5U,59T6W,red,blue
UCFUW,ETZU0,blue,green
YG72D,PQUYZ,green,blue
URWZ0,AON59,green,green
1JFAT,GXBGA,red,green
3H4QS,SCPD1,green,red
O2TIT,Y95IF,green,blue
0NNHS,0PTVR,red,red
